Datum,Uhrzeit,Status,Latenz (ms)
2025-03-31,08:09:59.162,OK (34ms),34
2025-03-31,08:09:59.695,OK (13ms),13
2025-03-31,08:10:00.207,OK (30ms),30
2025-03-31,08:10:00.738,OK (19ms),19
2025-03-31,08:10:01.256,OK (14ms),14
2025-03-31,08:10:01.770,OK (34ms),34
2025-03-31,08:10:02.304,OK (63ms),63
2025-03-31,08:10:02.866,OK (13ms),13
2025-03-31,08:10:03.379,OK (17ms),17
2025-03-31,08:10:03.895,OK (15ms),15
2025-03-31,08:10:04.409,OK (40ms),40
2025-03-31,08:10:04.949,OK (15ms),15
2025-03-31,08:10:05.463,OK (26ms),26
2025-03-31,08:10:05.989,OK (27ms),27
2025-03-31,08:10:06.517,OK (13ms),13
2025-03-31,08:10:07.029,OK (16ms),16
2025-03-31,08:10:07.544,OK (44ms),44
2025-03-31,08:10:08.087,OK (15ms),15
2025-03-31,08:10:08.602,OK (27ms),27
2025-03-31,08:10:09.129,OK (19ms),19
2025-03-31,08:10:09.647,OK (26ms),26
2025-03-31,08:10:10.172,OK (38ms),38
2025-03-31,08:10:10.709,OK (14ms),14
2025-03-31,08:10:11.222,OK (14ms),14
2025-03-31,08:10:11.735,OK (17ms),17
2025-03-31,08:10:12.251,OK (13ms),13
2025-03-31,08:10:12.763,OK (33ms),33
2025-03-31,08:10:13.295,OK (15ms),15
2025-03-31,08:10:13.810,OK (13ms),13
2025-03-31,08:10:14.322,OK (29ms),29
2025-03-31,08:10:14.850,OK (14ms),14
2025-03-31,08:10:15.364,OK (28ms),28
2025-03-31,08:10:15.891,OK (14ms),14
2025-03-31,08:10:16.405,OK (13ms),13
2025-03-31,08:10:16.917,OK (15ms),15
2025-03-31,08:10:17.432,OK (15ms),15
2025-03-31,08:10:17.946,OK (15ms),15
2025-03-31,08:10:18.459,OK (14ms),14
2025-03-31,08:10:18.972,OK (15ms),15
2025-03-31,08:10:19.485,OK (12ms),12
2025-03-31,08:10:19.996,OK (18ms),18
2025-03-31,08:10:20.513,OK (15ms),15
2025-03-31,08:10:21.027,OK (15ms),15
2025-03-31,08:10:21.541,OK (36ms),36
2025-03-31,08:10:22.076,OK (15ms),15
2025-03-31,08:10:22.591,OK (31ms),31
2025-03-31,08:10:23.122,OK (17ms),17
2025-03-31,08:10:23.638,OK (13ms),13
2025-03-31,08:10:24.150,OK (15ms),15
2025-03-31,08:10:24.664,OK (15ms),15
2025-03-31,08:10:25.177,OK (42ms),42
2025-03-31,08:10:25.719,OK (13ms),13
2025-03-31,08:10:26.232,OK (15ms),15
2025-03-31,08:10:26.746,OK (16ms),16
2025-03-31,08:10:27.262,OK (14ms),14
2025-03-31,08:10:27.775,OK (15ms),15
2025-03-31,08:10:28.290,OK (19ms),19
